stock_id,year,catch_t,period,source,path_qs
jurel_sprfmo_rangewide,1970,117710,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1971,168630,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1972,111289.99999999999,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1973,165370,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1974,323720,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1975,300110,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1976,397460,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1977,848060,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1978,1024760,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1979,1301610.0000000002,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1980,1316360.0000000002,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1981,1944670,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1982,2371600,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1983,1870260,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1984,2686900,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1985,2370930.0000000005,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1986,2072850,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1987,2679759.9999999995,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1988,3245700,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1989,3582190,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1990,3714759.9999999995,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1991,3777630,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1992,3361670,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1993,3370600.0000000005,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1994,4275790,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1995,4956190.000000001,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1996,4379849.999999999,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1997,3598120,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1998,2026760.0000000002,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,1999,1424450,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2000,1540320,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2001,2527770,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2002,1750080,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2003,1797230,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2004,1934410,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2005,1754679.9999999998,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2006,2020150,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2007,1996974.6,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2008,1472631.4,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2009,1283473.6,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2010,726573,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2011,634580.31,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2012,454773.86,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2013,353123,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2014,410698,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2015,394332,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2016,389068.00000000006,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2017,404845,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2018,526323,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2019,631545,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2020,706675,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2021,807566,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2022,961428,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2023,1125876,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2024,1265175,historical,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2025,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2026,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2027,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2028,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2029,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2030,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2031,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2032,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2033,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2034,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2035,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2036,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2037,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2038,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2039,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2040,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2041,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2042,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2043,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2044,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
jurel_sprfmo_rangewide,2045,0,projection,"SPRFMO JJM h1_1.07 (oem@observations[[1]]$stk@catch), iter=median, x1000",oem@observations[[1]]$stk@catch
