year,n_months,nino34_sst,nino34_anom_cpc,ENSO_c
2000,12,26.143333333333334,-0.9508333333333333,-0.9352666666666671
2001,12,26.718333333333334,-0.3766666666666667,-0.36026666666666785
2002,12,27.61,0.5166666666666666,0.5313999999999979
2003,12,27.275833333333335,0.18166666666666667,0.19723333333333315
2004,12,27.41166666666667,0.32,0.3330666666666673
2005,12,27.115833333333335,0.023333333333333327,0.03723333333333301
2006,12,27.169166666666666,0.0775,0.09056666666666402
2007,12,26.6325,-0.4608333333333333,-0.4461000000000013
2008,12,26.415,-0.6791666666666667,-0.6636000000000024
2009,12,27.459166666666665,0.365,0.38056666666666317
2010,12,26.783333333333335,-0.31166666666666665,-0.29526666666666657
2011,12,26.3525,-0.7433333333333333,-0.7261000000000024
2012,12,27.065833333333334,-0.02666666666666667,-0.012766666666667703
2013,12,26.861666666666668,-0.23416666666666666,-0.21693333333333342
2014,12,27.219166666666666,0.125,0.14056666666666473
2015,12,28.45916666666667,1.3658333333333335,1.3805666666666667
2016,12,27.476666666666667,0.38083333333333336,0.398066666666665
2017,12,27.003333333333334,-0.09083333333333334,-0.0752666666666677
2018,12,27.169166666666666,0.07500000000000001,0.09056666666666402
2019,12,27.626666666666665,0.5333333333333333,0.5480666666666636
2020,12,26.811666666666667,-0.2825,-0.26693333333333413
2021,12,26.54083333333333,-0.555,-0.5377666666666698
2022,12,26.2375,-0.855,-0.8411000000000008
2023,12,27.909166666666668,0.8150000000000001,0.830566666666666
2024,12,27.4975,0.405,0.41889999999999716
