domain,n_years,n_full_sst,n_full_chl,sst_mean,sst_sd,chl_mean,chl_sd
centro_sur_eez,25,25,25,14.371740051460005,0.2570731479234654,1.3204502510572298,0.1301464035012518
norte_chile_eez,25,25,25,18.00584440106133,0.36662123004259495,0.4407947383092339,0.059201242182282766
offshore_ext,25,25,25,15.579412894992602,0.27741799349909196,0.413908697280725,0.02956225518704732
se_pacific,25,25,25,17.025980975776324,0.28644685901907424,0.25882110206426584,0.022113701091458448
