anio,nm_recurso,nm_linea,clase_industria,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion
2016,ANCHOVETA,FRESCO ENFRIADO,HUMANO,18.0,0,18.0,18.0
2016,ANCHOVETA,HARINA,ANIMAL,327767.0,0,327767.0,108961.0
2016,ANCHOVETA,SALADO HUMEDO,HUMANO,0.0,0,0.0,21849.0
2016,ANCHOVETA,SECO SALADO,HUMANO,0.0,0,0.0,20.0
2016,JUREL,ACEITE,ANIMAL,0.0,0,0.0,6674.0
2016,JUREL,CONGELADO,HUMANO,74403.0,0,74403.0,74105.0
2016,JUREL,CONSERVA,HUMANO,34372.0,0,34372.0,34380.0
2016,JUREL,FRESCO ENFRIADO,HUMANO,52037.0,0,52037.0,53822.0
2016,JUREL,HARINA,ANIMAL,154822.0,0,154822.0,56297.0
2016,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,15699.0
2016,SARDINA COMUN,CONGELADO,HUMANO,81.0,0,81.0,68.0
2016,SARDINA COMUN,FRESCO ENFRIADO,HUMANO,175.0,0,175.0,175.0
2016,SARDINA COMUN,HARINA,ANIMAL,278426.0,0,278426.0,61298.0
2016,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,4.0
2016,SARDINA ESPAÑOLA,CONGELADO,HUMANO,31.0,0,31.0,34.0
2016,SARDINA ESPAÑOLA,HARINA,ANIMAL,65.0,0,65.0,15.0
2017,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,18099.0
2017,ANCHOVETA,CONGELADO,HUMANO,42.0,0,42.0,41.0
2017,ANCHOVETA,CONSERVA,HUMANO,2.0,0,2.0,1.0
2017,ANCHOVETA,FRESCO ENFRIADO,HUMANO,551.0,0,551.0,551.0
2017,ANCHOVETA,HARINA,ANIMAL,623241.0,0,623241.0,189844.0
2017,ANCHOVETA,SALADO HUMEDO,HUMANO,0.0,0,0.0,232.0
2017,JUREL,ACEITE,ANIMAL,0.0,0,0.0,7566.0
2017,JUREL,CONGELADO,HUMANO,110383.014,0,110383.014,109965.014
2017,JUREL,CONSERVA,HUMANO,29486.0,0,29486.0,33539.0
2017,JUREL,FRESCO ENFRIADO,HUMANO,48475.0,0,48475.0,52703.0
2017,JUREL,HARINA,ANIMAL,153467.0,0,153467.0,54059.0
2017,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,29178.0
2017,SARDINA COMUN,CONGELADO,HUMANO,210.0,0,210.0,209.0
2017,SARDINA COMUN,FRESCO ENFRIADO,HUMANO,2570.0,0,2570.0,2565.0
2017,SARDINA COMUN,HARINA,ANIMAL,340537.0,0,340537.0,69835.0
2017,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,200.0
2017,SARDINA ESPAÑOLA,HARINA,ANIMAL,452.0,0,452.0,121.0
2018,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,47170.333
2018,ANCHOVETA,CONGELADO,HUMANO,114.26100000000001,0,114.26100000000001,112.20400000000001
2018,ANCHOVETA,FRESCO ENFRIADO,HUMANO,281.413,0,281.413,281.413
2018,ANCHOVETA,HARINA,ANIMAL,849238.148,0,849238.148,233772.963
2018,ANCHOVETA,SALADO HUMEDO,HUMANO,0.0,0,0.0,245.416
2018,JUREL,ACEITE,ANIMAL,0.0,0,0.0,12738.241
2018,JUREL,CONGELADO,HUMANO,148883.11862300002,0,148883.11862300002,148782.024
2018,JUREL,CONSERVA,HUMANO,29395.103695,0,29395.103695,29870.384000000002
2018,JUREL,FRESCO ENFRIADO,HUMANO,52254.665018,0,52254.665018,53701.791000000005
2018,JUREL,HARINA,ANIMAL,192424.25948500002,0,192424.25948500002,61541.727999999996
2018,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,30191.927
2018,SARDINA COMUN,CONGELADO,HUMANO,1146.0439999999999,0,1146.0439999999999,1146.085
2018,SARDINA COMUN,FRESCO ENFRIADO,HUMANO,3541.7290000000003,0,3541.7290000000003,3541.4480000000003
2018,SARDINA COMUN,HARINA,ANIMAL,339822.149054,0,339822.149054,70420.023
2018,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,638.279
2018,SARDINA ESPAÑOLA,CONGELADO,HUMANO,4.46,0,4.46,4.46
2018,SARDINA ESPAÑOLA,HARINA,ANIMAL,1648.9389999999999,0,1648.9389999999999,399.30999999999995
2019,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,27744.333
2019,ANCHOVETA,CONGELADO,HUMANO,115.89,0,115.89,14.7
2019,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,0.12
2019,ANCHOVETA,FRESCO ENFRIADO,HUMANO,0.0,0,0.0,1.7610000000000001
2019,ANCHOVETA,HARINA,ANIMAL,739880.75,0,739880.75,160969.158
2019,ANCHOVETA,SALADO HUMEDO,HUMANO,0.2,0,0.2,144.644
2019,JUREL,ACEITE,ANIMAL,0.0,0,0.0,12260.98
2019,JUREL,CONGELADO,HUMANO,179642.54,0,179642.54,171257.587
2019,JUREL,CONSERVA,HUMANO,92681.93,0,92681.93,34367.51
2019,JUREL,FRESCO ENFRIADO,HUMANO,1909.418,0,1909.418,1902.5729999999999
2019,JUREL,HARINA,ANIMAL,169049.5,0,169049.5,55799.066999999995
2019,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,31515.929
2019,SARDINA COMUN,CONGELADO,HUMANO,3804.7200000000003,0,3804.7200000000003,453.79
2019,SARDINA COMUN,HARINA,ANIMAL,315659.029,0,315659.029,69085.928
2019,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,7.644
2019,SARDINA ESPAÑOLA,CONGELADO,HUMANO,208.10000000000002,0,208.10000000000002,196.82999999999998
2019,SARDINA ESPAÑOLA,HARINA,ANIMAL,1307.26,0,1307.26,316.49
2020,ANCHOVETA,ACEITE,ANIMAL,21.172,0,21.172,25897.815
2020,ANCHOVETA,CONGELADO,HUMANO,1326.864,0,1326.864,28.38
2020,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,0.153
2020,ANCHOVETA,FRESCO ENFRIADO,HUMANO,0.0,0,0.0,0.008
2020,ANCHOVETA,HARINA,ANIMAL,498388.767,0,498388.767,110276.09
2020,ANCHOVETA,SALADO HUMEDO,HUMANO,0.0,0,0.0,2.373
2020,JUREL,ACEITE,ANIMAL,27.793,0,27.793,17214.204
2020,JUREL,CONGELADO,HUMANO,198298.77300000002,0,198298.77300000002,191659.412
2020,JUREL,CONSERVA,HUMANO,91043.492,0,91043.492,35094.997
2020,JUREL,FRESCO ENFRIADO,HUMANO,4398.236,0,4398.236,3979.465
2020,JUREL,HARINA,ANIMAL,260294.612,0,260294.612,80090.726
2020,SARDINA COMUN,ACEITE,ANIMAL,13.438,0,13.438,21304.573
2020,SARDINA COMUN,CONGELADO,HUMANO,1148.693,0,1148.693,105.681
2020,SARDINA COMUN,HARINA,ANIMAL,260802.388,0,260802.388,54265.044
2020,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,104.129
2020,SARDINA ESPAÑOLA,CONGELADO,HUMANO,822.885,0,822.885,770.45
2020,SARDINA ESPAÑOLA,HARINA,ANIMAL,2707.718,0,2707.718,628.4
2021,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,32264.405
2021,ANCHOVETA,CONGELADO,HUMANO,966.5690000000001,0,966.5690000000001,966.5690000000001
2021,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,11.086
2021,ANCHOVETA,HARINA,ANIMAL,596407.868,0,596407.868,129997.802
2021,JUREL,ACEITE,ANIMAL,0.0,0,0.0,19683.869
2021,JUREL,CONGELADO,HUMANO,247910.52800000002,0,247910.52800000002,244941.071
2021,JUREL,CONSERVA,HUMANO,102757.016,0,102757.016,42730.234000000004
2021,JUREL,FRESCO ENFRIADO,HUMANO,7370.464999999999,0,7370.464999999999,5911.1449999999995
2021,JUREL,HARINA,ANIMAL,266864.749,0,266864.749,82484.676
2021,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,28551.048
2021,SARDINA COMUN,CONGELADO,HUMANO,3575.3019999999997,0,3575.3019999999997,3575.162
