domain,year,n_months_sst,sst,n_months_chl,chl,SST_c,logCHL_c
centro_sur_eez,2000,12,14.108450170047506,12,1.231265637953113,-0.26328988141249887,-0.06530500671441647
centro_sur_eez,2001,12,14.336544914658443,12,1.2589090782925563,-0.035195136801561944,-0.043102085959809494
centro_sur_eez,2002,12,14.491483257013785,12,1.1254427360001213,0.11974320555377993,-0.15517111966372438
centro_sur_eez,2003,12,14.260347102198523,12,1.4478470304388569,-0.11139294926148224,0.09673002540735665
centro_sur_eez,2004,12,14.6226216643578,12,1.3587611686347576,0.2508816128977944,0.03322575819234258
centro_sur_eez,2005,12,14.349030752536539,12,1.6448682426955246,-0.022709298923466292,0.2243126643701409
centro_sur_eez,2006,12,14.686443989794942,12,1.359700909021676,0.3147039383349366,0.03391713471149693
centro_sur_eez,2007,12,13.857338082611115,12,1.366249890260439,-0.5144019688488903,0.03872205917333249
centro_sur_eez,2008,12,14.644930788406684,12,1.317015215476803,0.2731907369466793,0.0020203548143470362
centro_sur_eez,2009,12,14.198130525781455,12,1.3823720845292296,-0.17360952567855037,0.050453304367308716
centro_sur_eez,2010,12,14.029297306201261,12,1.3364353639127895,-0.34244274525874374,0.016658272208629477
centro_sur_eez,2011,12,14.193463339489455,12,1.4944125905781274,-0.1782767119705504,0.12838559261613192
centro_sur_eez,2012,12,14.52241504193867,12,1.1985299693156741,0.15067499047866484,-0.09225184074704543
centro_sur_eez,2013,12,14.143537971305806,12,1.3770740442988922,-0.2282020801541993,0.046613369472405186
centro_sur_eez,2014,12,14.147040769676012,12,1.3412420825774323,-0.2246992817839928,0.020248490914043016
centro_sur_eez,2015,12,14.699897214890251,12,1.5189795464150875,0.32815716343024626,0.14469113734490785
centro_sur_eez,2016,12,14.762194798640483,12,1.3606267108921473,0.39045474718047757,0.034597789423405134
centro_sur_eez,2017,12,14.824500565266746,12,1.1340465043562555,0.45276051380674076,-0.1475554074163381
