stock_id,year,ssb_t,source,path_qs
jurel_sprfmo_rangewide,2004,9293578.642016629,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2005,8564352.345399117,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2006,7669331.1824488025,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2007,5923372.247958732,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2008,4228818.4919529725,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2009,3521952.263076466,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2010,2950078.092589439,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2011,2614794.1431306778,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2012,2535135.082660182,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2013,2674672.0359209245,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2014,3122371.5042743143,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2015,3772423.2527880613,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2016,4873122.146200296,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2017,7092283.357973208,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2018,10397864.053879391,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2019,13537416.604148436,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2020,15446244.70855837,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2021,17150404.795254994,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2022,18270995.711066272,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2023,18809849.5167776,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2024,19327740.77737826,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2025,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2026,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2027,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2028,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2029,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2030,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2031,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2032,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2033,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2034,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2035,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2036,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2037,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2038,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2039,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2040,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2041,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2042,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2043,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2044,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
jurel_sprfmo_rangewide,2045,0,"SPRFMO JJM h1_1.07 (om@biols[[1]]), iter=median(1:100), x1000 para tonnes",om@biols[[1]] via FLCore::ssb()
