model,scenario,window,var,delta,baseline_mean,future_mean,n_years_baseline,n_years_future,splice_exp
CNRM-ESM2-1,ssp245,mid,uas,0.0170208755052301,1.64586421817909,1.66288509368432,25,20,ssp245
GFDL-ESM4,ssp245,mid,uas,-0.168981287486037,1.54201787414642,1.37303658666039,25,20,ssp245
IPSL-CM6A-LR,ssp245,mid,uas,-0.202677121605497,1.82788647570331,1.62520935409781,25,20,ssp245
MPI-ESM1-2-HR,ssp245,mid,uas,-0.0740251661347342,1.53306734794225,1.45904218180752,25,20,ssp245
UKESM1-0-LL,ssp245,mid,uas,-0.0236408040364584,1.25307513020833,1.22943432617188,25,20,ssp245
CNRM-ESM2-1,ssp585,end,uas,-0.266022542585204,1.64586421817909,1.37984167559389,25,20,ssp245
GFDL-ESM4,ssp585,end,uas,-0.310356163998031,1.54201787414642,1.23166171014839,25,20,ssp245
IPSL-CM6A-LR,ssp585,end,uas,-0.507235968428496,1.82788647570331,1.32065050727482,25,20,ssp245
MPI-ESM1-2-HR,ssp585,end,uas,-0.265069939084264,1.53306734794225,1.26799740885799,25,20,ssp245
UKESM1-0-LL,ssp585,end,uas,-0.214164078776042,1.25307513020833,1.03891105143229,25,20,ssp245
CNRM-ESM2-1,ssp585,mid,uas,-0.0236078907326254,1.64586421817909,1.62225632744647,25,20,ssp245
GFDL-ESM4,ssp585,mid,uas,-0.132776726408187,1.54201787414642,1.40924114773824,25,20,ssp245
IPSL-CM6A-LR,ssp585,mid,uas,-0.324782318934111,1.82788647570331,1.5031041567692,25,20,ssp245
MPI-ESM1-2-HR,ssp585,mid,uas,-0.147759733628004,1.53306734794225,1.38530761431425,25,20,ssp245
UKESM1-0-LL,ssp585,mid,uas,-0.0998418131510417,1.25307513020833,1.15323331705729,25,20,ssp245
CNRM-ESM2-1,ssp245,end,vas,0.298507141003737,1.70576726739555,2.00427440839928,25,20,ssp245
GFDL-ESM4,ssp245,end,vas,0.277414166905874,2.3133171527292,2.59073131963507,25,20,ssp245
IPSL-CM6A-LR,ssp245,end,vas,0.428930535963571,1.35943810487694,1.78836864084051,25,20,ssp245
MPI-ESM1-2-HR,ssp245,end,vas,0.347161634029486,2.12183414579271,2.4689957798222,25,20,ssp245
UKESM1-0-LL,ssp245,end,vas,0.386618923611111,2.63222276475694,3.01884168836806,25,20,ssp245
CNRM-ESM2-1,ssp245,mid,vas,0.19834345279723,1.70576726739555,1.90411072019278,25,20,ssp245
GFDL-ESM4,ssp245,mid,vas,0.315968506471354,2.3133171527292,2.62928565920055,25,20,ssp245
IPSL-CM6A-LR,ssp245,mid,vas,0.362750097908222,1.35943810487694,1.72218820278516,25,20,ssp245
MPI-ESM1-2-HR,ssp245,mid,vas,0.211986817946801,2.12183414579271,2.33382096373952,25,20,ssp245
UKESM1-0-LL,ssp245,mid,vas,0.194635416666667,2.63222276475694,2.82685818142361,25,20,ssp245
CNRM-ESM2-1,ssp585,end,vas,0.769298268265857,1.70576726739555,2.4750655356614,25,20,ssp245
GFDL-ESM4,ssp585,end,vas,0.639575654539347,2.3133171527292,2.95289280726854,25,20,ssp245
IPSL-CM6A-LR,ssp585,end,vas,0.890318557577606,1.35943810487694,2.24975666245454,25,20,ssp245
MPI-ESM1-2-HR,ssp585,end,vas,0.637285262237895,2.12183414579271,2.75911940803061,25,20,ssp245
UKESM1-0-LL,ssp585,end,vas,0.817404513888889,2.63222276475694,3.44962727864583,25,20,ssp245
CNRM-ESM2-1,ssp585,mid,vas,0.225428213045764,1.70576726739555,1.93119548044131,25,20,ssp245
GFDL-ESM4,ssp585,mid,vas,0.263258261025774,2.3133171527292,2.57657541375497,25,20,ssp245
IPSL-CM6A-LR,ssp585,mid,vas,0.473644878746697,1.35943810487694,1.83308298362363,25,20,ssp245
MPI-ESM1-2-HR,ssp585,mid,vas,0.337891423691125,2.12183414579271,2.45972556948384,25,20,ssp245
UKESM1-0-LL,ssp585,mid,vas,0.428253919813368,2.63222276475694,3.06047668457031,25,20,ssp245
CNRM-ESM2-1,ssp245,end,wind_speed,0.183307040803965,3.56669409136452,3.75000113216848,25,20,ssp245
GFDL-ESM4,ssp245,end,wind_speed,0.0506295892226971,4.09502787153325,4.14565746075595,25,20,ssp245
IPSL-CM6A-LR,ssp245,end,wind_speed,0.142555193448384,3.41695046570113,3.55950565914951,25,20,ssp245
MPI-ESM1-2-HR,ssp245,end,wind_speed,0.144359173214907,3.95983236192891,4.10419153514382,25,20,ssp245
UKESM1-0-LL,ssp245,end,wind_speed,,,,0,0,ssp245
CNRM-ESM2-1,ssp245,mid,wind_speed,0.0858447341584538,3.56669409136452,3.65253882552297,25,20,ssp245
GFDL-ESM4,ssp245,mid,wind_speed,0.0241870277529941,4.09502787153325,4.11921489928625,25,20,ssp245
IPSL-CM6A-LR,ssp245,mid,wind_speed,0.148152278842451,3.41695046570113,3.56510274454358,25,20,ssp245
MPI-ESM1-2-HR,ssp245,mid,wind_speed,0.0560469558567287,3.95983236192891,4.01587931778564,25,20,ssp245
UKESM1-0-LL,ssp245,mid,wind_speed,,,,0,0,ssp245
CNRM-ESM2-1,ssp585,end,wind_speed,0.253211006099203,3.56669409136452,3.81990509746372,25,20,ssp245
GFDL-ESM4,ssp585,end,wind_speed,0.16332260164589,4.09502787153325,4.25835047317914,25,20,ssp245
IPSL-CM6A-LR,ssp585,end,wind_speed,0.200454603673993,3.41695046570113,3.61740506937512,25,20,ssp245
MPI-ESM1-2-HR,ssp585,end,wind_speed,0.189651267517003,3.95983236192891,4.14948362944591,25,20,ssp245
UKESM1-0-LL,ssp585,end,wind_speed,,,,0,0,ssp245
CNRM-ESM2-1,ssp585,mid,wind_speed,0.099002777679543,3.56669409136452,3.66569686904406,25,20,ssp245
GFDL-ESM4,ssp585,mid,wind_speed,0.0704768444400532,4.09502787153325,4.16550471597331,25,20,ssp245
IPSL-CM6A-LR,ssp585,mid,wind_speed,0.0699262507285288,3.41695046570113,3.48687671642966,25,20,ssp245
MPI-ESM1-2-HR,ssp585,mid,wind_speed,0.122522862808518,3.95983236192891,4.08235522473743,25,20,ssp245
UKESM1-0-LL,ssp585,mid,wind_speed,,,,0,0,ssp245
