stock_id,median_err_pct_base,n_years.x,r0_fit,K_fit_mil_t,rho_sst,median_err_pct_aug,nll,converged,n_years.y,r_fixed,K_fixed_mil_t,rho_sst_restricted,median_err_pct_restricted,nll_restricted,converged_restricted,n_years_chl,rho_chl_restricted,median_err_pct_chl,nll_chl,converged_chl,n_years_both,rho_sst_both,rho_chl_both,median_err_pct_both,nll_both,converged_both,delta_err_pct,delta_err_pct_restricted,delta_err_pct_chl,delta_err_pct_both,pass_aug,pass_restricted,pass_chl,pass_both
anchoveta_cs,95.93077172974623,24,0.5273424403910821,13806.787393691013,-2.3269296791205236,33.19212424029216,7.099142606105848,TRUE,24,0.6,2200,-2.7553254260013555,30.775623847084233,7.175972717107654,TRUE,24,-2.9999999385975205,95.1215123681009,235.39809485203781,TRUE,24,-2.29168422249276,-2.2991287533613423,26.587366481384592,4.8080387613753235,FALSE,-62.73864748945407,-65.15514788266199,-0.8092593616453314,-69.34340524836163,FALSE,FALSE,FALSE,FALSE
jurel_cs,44.236898533874935,17,0.23480423378854298,21355.679863090292,2.1875017629844833,50.504717921588124,31.766729096277125,TRUE,17,0.35,8000,-0.15179357803213508,44.29436874694811,38.85563914624114,TRUE,17,-1.0124941242143821,49.09381825574315,38.81649617207097,TRUE,17,0.5623912133920508,-3,48.497185459127316,38.713009310403635,TRUE,6.267819387713189,0.05747021307317368,4.856919721868216,4.26028692525238,FALSE,FALSE,FALSE,FALSE
sardina_comun_cs,98.4594951385223,24,0.09177810258092509,85050.97028271007,-6.286795971861238,17.396761778232047,1.4274263056610959,TRUE,24,0.9,3000,-1.4846906962916677,23.10828537524245,1.5366456747163295,TRUE,24,-2.9999999385975205,98.4594951385223,361.43642417244786,TRUE,24,-1.9593626533992683,2.078044579964596,20.51602471748483,1.2192646008274377,TRUE,-81.06273336029025,-75.35120976327985,0,-77.94347042103747,TRUE,FALSE,FALSE,FALSE
