zone,species,armador,nave,coef
V-X,SARDINA,ALIMENTOS MARINOS S.A.,ALCONES,0.0037606
V-X,SARDINA,ALIMENTOS MARINOS S.A.,AREQUIPA VII,0.0023649
V-X,SARDINA,ALIMENTOS MARINOS S.A.,BEC006613,0.0093821
V-X,SARDINA,ALIMENTOS MARINOS S.A.,BEC006713,0.0062068
V-X,SARDINA,ALIMENTOS MARINOS S.A.,BEC126208,0.002519
V-X,SARDINA,ALIMENTOS MARINOS S.A.,GENESIS II,0.003265
V-X,SARDINA,ALIMENTOS MARINOS S.A.,OGRI,0.002132
V-X,SARDINA,ALIMENTOS MARINOS S.A.,ORDINAT,0.0071802
V-X,SARDINA,ALIMENTOS MARINOS S.A.,PANIAHUE,0.0053448
V-X,SARDINA,ALIMENTOS MARINOS S.A.,PANILONCO,0.0068424
V-X,SARDINA,ALIMENTOS MARINOS S.A.,QUERELEMA,0.0061286
V-X,SARDINA,ALIMENTOS MARINOS S.A.,QUILPOLEMU,0.0070025
V-X,SARDINA,ALIMENTOS MARINOS S.A.,RANQUILHUE,0.0081748
V-X,SARDINA,ALIMENTOS MARINOS S.A.,SANTA IRENE,0.0028822
V-X,SARDINA,ALIMENTOS MARINOS S.A.,SEIKO,0.0039446
V-X,SARDINA,ALIMENTOS MARINOS S.A.,VICHUQUEN II,0.0109194
V-X,SARDINA,BERTA ELENA LTDA. SOC. PESQ.,BEC214611,0.0173796
V-X,SARDINA,BLUMAR S.A.,2861.04-E2,0.0014694
V-X,SARDINA,BLUMAR S.A.,2862.04-E2,0.0013132
V-X,SARDINA,BLUMAR S.A.,2863.04-E2,0.0016154
V-X,SARDINA,BLUMAR S.A.,BEC044601,0.0009797
V-X,SARDINA,BLUMAR S.A.,BEC048813,0.008927
V-X,SARDINA,BLUMAR S.A.,BEC060711,0.0096528
V-X,SARDINA,BLUMAR S.A.,BEC072305,0.0079373
V-X,SARDINA,BLUMAR S.A.,BEC082906,0.0051451
V-X,SARDINA,BLUMAR S.A.,BEC084901,0.0032954
V-X,SARDINA,BLUMAR S.A.,BEC102004,0.0175119
V-X,SARDINA,BLUMAR S.A.,BEC156411,0.0015783
V-X,SARDINA,BLUMAR S.A.,BEC197805,0.0041975
V-X,SARDINA,BLUMAR S.A.,BEC207103,0.0090199
V-X,SARDINA,BLUMAR S.A.,BEC214109,0.0006457
V-X,SARDINA,BLUMAR S.A.,BEC263005,0.0022024
V-X,SARDINA,BLUMAR S.A.,BEC266706,0.0044479
V-X,SARDINA,BLUMAR S.A.,BEC294007,0.0053636
V-X,SARDINA,BLUMAR S.A.,BEC323712,0.0048612
V-X,SARDINA,BLUMAR S.A.,BEC324212,0.0092352
V-X,SARDINA,BLUMAR S.A.,BEC329505,0.0031687
V-X,SARDINA,BLUMAR S.A.,BRONCO,0.0080195
V-X,SARDINA,BLUMAR S.A.,COBRA,0.0042622
V-X,SARDINA,BLUMAR S.A.,DON ALFONSO,0.0149549
V-X,SARDINA,BLUMAR S.A.,DON EDMUNDO,0.009373
V-X,SARDINA,BLUMAR S.A.,ERIKA,0.0362758
V-X,SARDINA,BLUMAR S.A.,LEOPARDO,0.0055146
V-X,SARDINA,BLUMAR S.A.,PETROHUE I,0.0121942
V-X,SARDINA,BLUMAR S.A.,PILMAIQUEN I,0.016333
V-X,SARDINA,BLUMAR S.A.,RAPANUI,0.0131121
V-X,SARDINA,BLUMAR S.A.,TRINIDAD,0.009576
V-X,SARDINA,BLUMAR S.A.,VULCANO,0.0080013
V-X,SARDINA,BLUMAR S.A.,YELCHO I,0.0103734
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC035213,0.0233895
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC035713,0.0013861
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC035813,0.0030843
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC035913,0.0011185
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC164612,0.0167969
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC234012,0.0002962
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC234112,0.0050224
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC283112,0.0193166
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BEC283212,0.0066279
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,BODANES,0.0158851
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,DUQUECO,0.0185714
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,GARDAR,0.005098
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,KINGS BAY,0.0105657
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,MARIA JOSE,0.0146696
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,PEHUENCO,0.008075
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,PELICANO,0.0169982
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,POLARSTROM,0.0046635
V-X,SARDINA,CAMANCHACA PESCA SUR S.A.,YAGAN,0.0117444
V-X,SARDINA,CAMANCHACA S.A. CIA. PESQ.,LOA 4,0.0008868
V-X,SARDINA,CENTRO SUR S.A. PESQ.,BEC088808,0.013816
V-X,SARDINA,CENTRO SUR S.A. PESQ.,JAVIER,0.0079212
V-X,SARDINA,CENTRO SUR S.A. PESQ.,MARIA IGNACIA II,0.0058063
V-X,SARDINA,CENTRO SUR S.A. PESQ.,MATIAS,0.0114753
V-X,SARDINA,FOODCORP S.A.,BEC328204,0.0068103
V-X,SARDINA,FOODCORP S.A.,BEC354403,0.005281
V-X,SARDINA,FOODCORP S.A.,CAZADOR,0.0097787
V-X,SARDINA,FOODCORP S.A.,LIGRUNN,0.0047586
V-X,SARDINA,FOODCORP S.A.,MARPRO I,0.0023722
V-X,SARDINA,GENMAR LTDA. SOC. PESQ.,DON CHELO I,0.0003394
V-X,SARDINA,INOSTROZA CONCHA PELANTARO,RODRIGO ALEJANDRO,0.0018088
V-X,SARDINA,INVERSIONES PESQUERAS S.A.,BEC300803,0.0173344
V-X,SARDINA,INVERSIONES PESQUERAS S.A.,BEC303403,0.0161425
V-X,SARDINA,INVERSIONES PESQUERAS S.A.,FRANCISCO,0.0153586
V-X,SARDINA,ISLA QUIHUA S.A. PESQ.,TERRANOVA,0.0043615
V-X,SARDINA,LANDES S.A. SOC. PESQ.,BALLENA I,0.0063866
V-X,SARDINA,LANDES S.A. SOC. PESQ.,BEC288411,0.0142568
V-X,SARDINA,LANDES S.A. SOC. PESQ.,BONITO I,0.0157751
V-X,SARDINA,LANDES S.A. SOC. PESQ.,BONITO II,0.0161064
V-X,SARDINA,LANDES S.A. SOC. PESQ.,CORAL I,0.0064063
V-X,SARDINA,LANDES S.A. SOC. PESQ.,DON BORIS,0.0128572
V-X,SARDINA,LANDES S.A. SOC. PESQ.,HUACHINANGO,0.0185732
V-X,SARDINA,LANDES S.A. SOC. PESQ.,ISLA ROCUANT I,0.0071515
V-X,SARDINA,LOTA PROTEIN S.A.,BEC019706,0.0003377
V-X,SARDINA,LOTA PROTEIN S.A.,BEC038805,0.0086301
V-X,SARDINA,LOTA PROTEIN S.A.,SANTA MARIA II,0.0140289
V-X,SARDINA,MAR PROFUNDO S.A. SOC. PESQ.,ARAUCO I,0.0035556
V-X,SARDINA,ORIZON S.A.,1.0650.01-e2,0.0057873
V-X,SARDINA,ORIZON S.A.,2.0650.01-e2,0.0089854
V-X,SARDINA,ORIZON S.A.,BEC131811,0.0027117
V-X,SARDINA,ORIZON S.A.,BEC202206,0.0069261
V-X,SARDINA,ORIZON S.A.,BEC229211,0.008564
V-X,SARDINA,ORIZON S.A.,BEC265111,0.0070381
V-X,SARDINA,ORIZON S.A.,BEC265311,0.0005272
V-X,SARDINA,ORIZON S.A.,BEC300903,0.000501
V-X,SARDINA,ORIZON S.A.,CULLINTO,0.0060584
V-X,SARDINA,ORIZON S.A.,DON JULIO,0.0119936
V-X,SARDINA,ORIZON S.A.,DON TELESFORO,0.0083371
V-X,SARDINA,ORIZON S.A.,GUALPEN,0.0077843
V-X,SARDINA,ORIZON S.A.,GUANAYE 2,0.0055809
V-X,SARDINA,ORIZON S.A.,GUANAYE 3,0.0052648
V-X,SARDINA,ORIZON S.A.,GUANAYE 4,0.0114391
V-X,SARDINA,ORIZON S.A.,GUANAYE 5,0.0116967
V-X,SARDINA,ORIZON S.A.,LIBAS,0.0055695
V-X,SARDINA,ORIZON S.A.,LIDER,0.0064604
V-X,SARDINA,ORIZON S.A.,LONCO,0.0099524
V-X,SARDINA,ORIZON S.A.,MALLECO,0.0055966
V-X,SARDINA,ORIZON S.A.,MONTSERRAT,0.0149065
V-X,SARDINA,ORIZON S.A.,SAN BOSCO,0.0117044
V-X,SARDINA,ORIZON S.A.,SAN JOSE,0.0124193
V-X,SARDINA,ORIZON S.A.,VENTISQUERO,0.0116327
V-X,SARDINA,ORIZON S.A.,VESTERVEG,0.0070399
V-X,SARDINA,SALMOALIMENTOS S.A.,CAROLINA III,0.0107403
V-X,SARDINA,SAN ANTONIO S.A. PESQ.,AREQUIPA IV,0.002418
V-X,SARDINA,SAN ANTONIO S.A. PESQ.,VIGRI,0.0013062
