year,species,sector,asignada_t,cesion_t,efectiva_t,captura_t
2016,anchoveta,IND,8573.997999999996,157453.2850000002,8573.998,-2138.1240000000007
2016,sardina,IND,70750.02100000001,84377.544,70750.02099999998,15645.431999999995
2017,anchoveta,IND,12557.999000000002,-9034.177670200002,14049.664989399998,9481.486989400002
2017,sardina,IND,72401.52200000003,-48885.20510000001,62605.85169999997,24142.354
