"Stock","model","Scenario","pr_extinct","factor_B_med","factor_B_q05","factor_B_q95","Non-identified"
"Sardine CS","GFDL-ESM4","SSP2-4.5, 2081-2100",0.9878,0,0,0,FALSE
"Sardine CS","GFDL-ESM4","SSP5-8.5, 2041-2060",0.6634,0,0,0.4841,FALSE
"Sardine CS","GFDL-ESM4","SSP5-8.5, 2081-2100",0.9999,0,0,0,FALSE
"Sardine CS","IPSL-CM6A-LR","SSP2-4.5, 2041-2060",0.9977,0,0,0,FALSE
"Sardine CS","IPSL-CM6A-LR","SSP2-4.5, 2081-2100",0.9999,0,0,0,FALSE
"Sardine CS","IPSL-CM6A-LR","SSP5-8.5, 2041-2060",0.9986,0,0,0,FALSE
"Sardine CS","IPSL-CM6A-LR","SSP5-8.5, 2081-2100",1,0,0,0,FALSE
"Sardine CS","MPI-ESM1-2-HR","SSP2-4.5, 2041-2060",0.6879,0,0,0.4707,FALSE
"Sardine CS","MPI-ESM1-2-HR","SSP2-4.5, 2081-2100",0.9924,0,0,0,FALSE
"Sardine CS","MPI-ESM1-2-HR","SSP5-8.5, 2041-2060",0.7894,0,0,0.3784,FALSE
"Sardine CS","MPI-ESM1-2-HR","SSP5-8.5, 2081-2100",0.9999,0,0,0,FALSE
"Sardine CS","UKESM1-0-LL","SSP2-4.5, 2041-2060",0.9979,0,0,0,FALSE
"Sardine CS","UKESM1-0-LL","SSP2-4.5, 2081-2100",0.9999,0,0,0,FALSE
"Sardine CS","UKESM1-0-LL","SSP5-8.5, 2041-2060",0.9994,0,0,0,FALSE
"Sardine CS","UKESM1-0-LL","SSP5-8.5, 2081-2100",1,0,0,0,FALSE
