"TIPO_FLOTA","scenario","window","n_models","factor_trips_marg_cross_med","factor_trips_marg_cross_q25","factor_trips_marg_cross_q75","factor_trips_marg_within_q05","factor_trips_marg_within_q95","factor_trips_cond_cross_med","factor_trips_cond_cross_q25","factor_trips_cond_cross_q75","factor_trips_cond_within_q05","factor_trips_cond_within_q95","n_models_cond_valid","pr_portfolio_loss_cross_med","pr_portfolio_loss_cross_q25","pr_portfolio_loss_cross_q75","factor_H_cross_med","factor_H_cross_q25","factor_H_cross_q75","pr_decline_cross_med","scenario_key","scenario_label","fleet_label"
"ART","ssp245","mid",5,0.839114491564957,0.831402754853031,0.851476044972835,0.384656050771215,0.990942267058694,0.919691893026676,0.917579627826178,0.923220170143507,0.458167754388412,0.994248727844886,5,0.949550542091837,0.927059709821429,0.958354272959184,0.0235053935708747,0.00708184711062601,0.0711486163142956,0.999773118622449,"ssp245_mid","SSP2-4.5, 2041-2060","Artisanal"
"ART","ssp245","end",5,0.829850274984751,0.82897558892795,0.83103813273921,0.379396881246454,0.988369724733493,0.921093031666306,0.86177100509307,0.94822417633132,0.419389500138332,0.991045249750659,5,0.978054926658163,0.968140625,0.988429129464286,0,0,0,0.999987484056122,"ssp245_end","SSP2-4.5, 2081-2100","Artisanal"
"ART","ssp585","mid",6,0.833833584699481,0.831514843473619,0.841361353175301,0.382170570851166,0.989409268587976,0.911509730575728,0.887584499693695,0.935333707117847,0.427880363644253,0.993255331479156,6,0.975558274872449,0.964434390943878,0.981307497608418,0,0,0.0156601793036616,0.999778738839286,"ssp585_mid","SSP5-8.5, 2041-2060","Artisanal"
"ART","ssp585","end",6,0.823988634853672,0.822032824553719,0.82521600210398,0.377082573346091,0.981812865234369,0.93764383644781,0.893522041506315,0.941436933303415,0.411878570543581,0.982042287224512,6,0.990431999362245,0.985614217952806,0.991888592155612,0,0,0,0.999995416135204,"ssp585_end","SSP5-8.5, 2081-2100","Artisanal"
"IND","ssp245","mid",5,0.990218008528923,0.990149008942533,0.991665633902724,0.786280398118152,1.00101991792041,0.992870057600566,0.99261936578222,0.993030971556273,0.894442574996589,1.00026398608952,5,0.1159765625,0.108471875,0.1179015625,0.954069471368314,0.954069471368314,0.958859848551065,0.93294375,"ssp245_mid","SSP2-4.5, 2041-2060","Industrial"
"IND","ssp245","end",5,0.991437396928077,0.990452163095352,0.991829512362245,0.784904000453947,1.00253796721528,0.992781659647951,0.992193904703664,0.993046798537175,0.894016056804448,1.00070221056881,5,0.12153125,0.1214046875,0.1237609375,0.954069471368314,0.954069471368314,0.954069471368314,0.930259375,"ssp245_end","SSP2-4.5, 2081-2100","Industrial"
"IND","ssp585","mid",6,0.991516528746995,0.990749603121773,0.992248169744752,0.785878718509373,1.00305047692633,0.992785420473254,0.991441834362726,0.993284732834564,0.894312030201222,1.00041005025191,6,0.1216328125,0.116947265625,0.12226015625,0.954069471368314,0.954069471368314,0.954318185266355,0.92562890625,"ssp585_mid","SSP5-8.5, 2041-2060","Industrial"
"IND","ssp585","end",6,0.989557641838173,0.988618713968363,0.990388486806327,0.782501174706342,1.00129461942712,0.990457146837258,0.990016411169181,0.991216568361782,0.890923604941884,1.00129461942712,6,0.124259375,0.1238578125,0.1244171875,0.954069471368314,0.954069471368314,0.954069471368314,0.92795703125,"ssp585_end","SSP5-8.5, 2081-2100","Industrial"
