"stock_id","scenario","window","n_models","DSST_cross_med","DSST_cross_q25","DSST_cross_q75","DlogCHL_cross_med","DlogCHL_cross_q25","DlogCHL_cross_q75","r_eff_cross_med","pct_cross_med","pct_cross_q25","pct_cross_q75","pct_within_q05","pct_within_q95","prob_decline_cross","stock_label","scenario_key","scenario_label"
"anchoveta_cs","ssp245","mid",5,0.580753810733832,0.496483005814001,0.927439339105099,0,0,0,0.310220569891352,-0.453962021559229,-0.52737156276067,-0.403852996800503,-0.64548904282523,-0.172948248358487,0.9951875,"Anchoveta CS","ssp245_mid","SSP2-4.5, 2041-2060"
"anchoveta_cs","ssp245","end",5,1.31281044458395,0.839243453016898,1.56296544296183,0,0,0,0.164216937995829,-0.710233364869151,-0.745325883073878,-0.582878576198017,-0.904076482870937,-0.274563924157039,0.9951875,"Anchoveta CS","ssp245_end","SSP2-4.5, 2081-2100"
"anchoveta_cs","ssp585","mid",6,0.920689668219185,0.609757547606524,1.2252537162173,0,0,0,0.231592639100419,-0.593101249522719,-0.7100132591097,-0.467680876442765,-0.791829706377417,-0.25691643154585,0.9951875,"Anchoveta CS","ssp585_mid","SSP5-8.5, 2041-2060"
"anchoveta_cs","ssp585","end",6,2.38816570593802,1.92694309275156,3.29167596335321,0,0,0,0.0565712825705587,-0.900550397968754,-0.960089850656692,-0.855880392592804,-0.983341623585295,-0.543447345668494,0.9951875,"Anchoveta CS","ssp585_end","SSP5-8.5, 2081-2100"
"jurel_cs","ssp245","mid",5,0.580753810733832,0.496483005814001,0.927439339105099,0,0,0,0.480748693943435,0.276670625677338,0.232214163996193,0.479982482856588,-0.516696498394197,2.36650135118508,0.34,"Jack mackerel CS","ssp245_mid","SSP2-4.5, 2041-2060"
"jurel_cs","ssp245","end",5,1.31281044458395,0.839243453016898,1.56296544296183,0,0,0,0.658684543623366,0.736977858084651,0.423291516580938,0.937917938572643,-0.806727425670078,14.5490052609019,0.34,"Jack mackerel CS","ssp245_end","SSP2-4.5, 2081-2100"
"jurel_cs","ssp585","mid",6,0.920689668219185,0.609757547606524,1.2252537162173,0,0,0,0.559027479346054,0.475471311540729,0.293401656550351,0.675326594099812,-0.6784561357165,6.19103261543572,0.34,"Jack mackerel CS","ssp585_mid","SSP5-8.5, 2041-2060"
"jurel_cs","ssp585","end",6,2.38816570593802,1.92694309275156,3.29167596335321,0,0,0,1.04557157361203,1.72952837864882,1.26063439752632,3.07163473372628,-0.949491889480103,147.736378208018,0.34,"Jack mackerel CS","ssp585_end","SSP5-8.5, 2081-2100"
"sardina_comun_cs","ssp245","mid",5,0.580753810733832,0.496483005814001,0.927439339105099,0,0,0,0.150047712138979,-0.798469909453265,-0.932056608088252,-0.745736345050731,-0.866310209246128,-0.689864289968661,1,"Common sardine CS","ssp245_mid","SSP2-4.5, 2041-2060"
"sardina_comun_cs","ssp245","end",5,1.31281044458395,0.839243453016898,1.56296544296183,0,0,0,0.0199785236057463,-0.973242801928647,-0.989397346703535,-0.901211535289682,-0.989419155829692,-0.929101282073542,1,"Common sardine CS","ssp245_end","SSP2-4.5, 2081-2100"
"sardina_comun_cs","ssp585","mid",6,0.920689668219185,0.609757547606524,1.2252537162173,0,0,0,0.0623290569968993,-0.916374991762981,-0.965569381901965,-0.808066893506992,-0.954424328798576,-0.839927032243528,1,"Common sardine CS","ssp585_mid","SSP5-8.5, 2041-2060"
"sardina_comun_cs","ssp585","end",6,2.38816570593802,1.92694309275156,3.29167596335321,0,0,0,0.000951603610526847,-0.998721660096343,-0.99971604632566,-0.99421648302785,-0.999764130540629,-0.992398598607997,1,"Common sardine CS","ssp585_end","SSP5-8.5, 2081-2100"
