model,model_label,n_points,n_censored,elpd_lfo_sum,elpd_lfo_mean,elpd_diff
full,T4b-full,14,2,-29.096027302810068,-2.0782876644864334,0
ind,T4b-ind,14,2,-29.464883306589577,-2.1046345218992553,-0.3688560037795092
omega,T4b-omega,14,2,-30.45951044204478,-2.1756793172889126,-1.363483139234713
