"stock_id","model","scenario","window","DSST","DlogCHL","r_eff_med","pct_med","pct_q05","pct_q95","prob_decline"
"sardina_comun_cs","CNRM-ESM2-1","ssp245","end",1.313,0,0.02,-0.9732,-0.9894,-0.9291,1
"sardina_comun_cs","CNRM-ESM2-1","ssp245","mid",0.581,0,0.15,-0.7985,-0.8663,-0.6899,1
"sardina_comun_cs","CNRM-ESM2-1","ssp585","end",2.339,0,0.0012,-0.9984,-0.9997,-0.991,1
"sardina_comun_cs","CNRM-ESM2-1","ssp585","mid",0.775,0,0.0878,-0.8822,-0.9319,-0.7905,1
"sardina_comun_cs","GFDL-ESM4","ssp245","end",0.746,0,0.0951,-0.8723,-0.9247,-0.7779,1
"sardina_comun_cs","GFDL-ESM4","ssp245","mid",0.298,0,0.3277,-0.5599,-0.6433,-0.4511,1
"sardina_comun_cs","GFDL-ESM4","ssp585","end",1.641,0,0.0081,-0.9892,-0.9966,-0.9634,1
"sardina_comun_cs","GFDL-ESM4","ssp585","mid",0.47,0,0.2039,-0.7262,-0.8035,-0.612,1
"sardina_comun_cs","IPSL-CM6A-LR","ssp245","end",1.563,-0.1062,0.0079,-0.9894,-0.9966,-0.9643,1
"sardina_comun_cs","IPSL-CM6A-LR","ssp245","mid",0.927,-0.0592,0.0507,-0.9321,-0.9654,-0.8607,1
"sardina_comun_cs","IPSL-CM6A-LR","ssp585","end",2.437,-0.0941,7e-04,-0.999,-0.9998,-0.9937,1
"sardina_comun_cs","IPSL-CM6A-LR","ssp585","mid",1.066,-0.0305,0.0369,-0.9506,-0.977,-0.8893,1
"sardina_comun_cs","MPI-ESM1-2-HR","ssp245","end",0.839,0,0.0736,-0.9012,-0.9454,-0.8158,1
"sardina_comun_cs","MPI-ESM1-2-HR","ssp245","mid",0.496,0,0.1893,-0.7457,-0.821,-0.6324,1
"sardina_comun_cs","MPI-ESM1-2-HR","ssp585","end",1.789,0,0.0054,-0.9928,-0.998,-0.9729,1
"sardina_comun_cs","MPI-ESM1-2-HR","ssp585","mid",0.555,0,0.1613,-0.7834,-0.8536,-0.673,1
"sardina_comun_cs","UKESM1-0-LL","ssp245","end",2.02,0,0.0028,-0.9962,-0.9991,-0.983,1
"sardina_comun_cs","UKESM1-0-LL","ssp245","mid",1.009,0,0.0461,-0.9382,-0.9697,-0.8692,1
"sardina_comun_cs","UKESM1-0-LL","ssp585","end",3.577,0,0,-0.9999,-1,-0.9993,1
"sardina_comun_cs","UKESM1-0-LL","ssp585","mid",1.333,0,0.0189,-0.9747,-0.9901,-0.9319,1
