model,T_cut,year,stock,censored,log_y,elpd_lfo,n_draws,lp_min,lp_max,model_label,stock_label
ind,12,2012,anchoveta_cs,FALSE,4.9209658420986715,-1.9521691459253843,6000,-15.699043674747646,0.19584820792096125,T4b-ind,Anchoveta CS
ind,12,2012,sardina_comun_cs,FALSE,7.947275520840558,0.05549648406505803,6000,-12.039921005658252,0.7991239483617639,T4b-ind,Sardina comun CS
ind,12,2012,jurel_cs,TRUE,1.0986122886681098,-17.607240260496702,6000,-111.2949929299754,-8.980581782450521,T4b-ind,Jurel CS
ind,15,2015,anchoveta_cs,FALSE,5.22929413745744,-0.1518981811355431,6000,-3.4236350479049045,0.521416672065158,T4b-ind,Anchoveta CS
ind,15,2015,sardina_comun_cs,FALSE,7.769678522288081,0.15929243255940406,6000,-1.849550788023021,0.728290720102433,T4b-ind,Sardina comun CS
ind,15,2015,jurel_cs,TRUE,1.0986122886681098,-6.815807100246129,6000,-39.85364387129403,-2.9777099881413864,T4b-ind,Jurel CS
ind,18,2018,anchoveta_cs,FALSE,5.8756158893357675,-0.4365783975368043,6000,-5.0962142983525975,0.4423469215897723,T4b-ind,Anchoveta CS
ind,18,2018,sardina_comun_cs,FALSE,7.917412484705669,0.40689302881260403,6000,-0.9423783408442259,0.8016154203639805,T4b-ind,Sardina comun CS
ind,21,2021,anchoveta_cs,FALSE,6.835216843691538,0.07741622953637517,6000,-2.3396799027553454,0.5530367501567863,T4b-ind,Anchoveta CS
ind,21,2021,sardina_comun_cs,FALSE,7.5293957166407655,-0.26002572323385387,6000,-2.723907531358201,0.5454457836830187,T4b-ind,Sardina comun CS
ind,21,2021,jurel_cs,FALSE,7.101491440591346,-1.241236341034341,6000,-4.739427911754222,-0.7287758189687881,T4b-ind,Jurel CS
ind,23,2023,anchoveta_cs,FALSE,6.9153265444784555,0.11194808758730446,6000,-1.7424677188977924,0.595969658886234,T4b-ind,Anchoveta CS
