model,stock,n_obs,elpd_loo,se_elpd,p_loo,n_k_gt_07,n_k_gt_10,stock_lab
T4b-full,anchoveta_cs,25,8.317385563788404,2.4420880654122796,20.766170038463517,17,0,Anchoveta CS
T4b-ind,anchoveta_cs,25,3.0479610449183436,3.483084163923922,16.10249414459171,11,1,Anchoveta CS
T4b-omega,anchoveta_cs,25,3.3201340892346263,4.07716305433599,15.673647765783127,11,0,Anchoveta CS
T4b-full,jurel_cs,18,-18.04116225127533,3.3590023287063975,22.695589768719806,18,2,Jurel CS
T4b-ind,jurel_cs,18,-17.250893470941804,3.1156602972330956,17.499232308377472,17,2,Jurel CS
T4b-omega,jurel_cs,18,-18.260199343928083,3.376317922700573,18.19192597086218,15,2,Jurel CS
T4b-full,sardina_comun_cs,25,4.790572612814406,3.6273723723511866,17.820758043305304,14,1,Sardina comun CS
T4b-ind,sardina_comun_cs,25,-3.868709890964265,3.546458750932041,18.661509375744075,15,0,Sardina comun CS
T4b-omega,sardina_comun_cs,25,-5.080975051926444,3.7572528758352632,17.622921689644876,12,0,Sardina comun CS
