"TIPO_FLOTA","scenario","window","n_models","mean_pct_change","var_within_avg","var_between","var_total","pct_within","pct_between","sd_within","sd_between","sd_total","fleet_label","scenario_key","scenario_label"
"ART","ssp245","mid",5,-0.184436049768996,0.0393245092714862,0.0010848506654316,0.0404093599369178,0.973153480601397,0.0268465193986032,0.198304082841192,0.0329370712940845,0.2010207947873,"Artisanal","ssp245_mid","SSP2-4.5, 2041-2060"
"ART","ssp245","end",5,-0.206635738111105,0.0519712381673613,4.03457733535881e-05,0.0520115839407149,0.999224292546069,0.000775707453931339,0.227972011807067,0.00635183228317531,0.228060483075685,"Artisanal","ssp245_end","SSP2-4.5, 2081-2100"
"ART","ssp585","mid",6,-0.203056470684121,0.0428495551631792,5.49754129910417e-05,0.0429045305761703,0.998718657161545,0.00128134283845482,0.207001340969519,0.00741454064599027,0.207134088397275,"Artisanal","ssp585_mid","SSP5-8.5, 2041-2060"
"ART","ssp585","end",6,-0.213587084932596,0.252431393333664,8.51530088402377e-05,0.252516546342504,0.999662782458918,0.000337217541082394,0.50242551023377,0.00922783879574398,0.502510245012481,"Artisanal","ssp585_end","SSP5-8.5, 2081-2100"
"IND","ssp245","mid",5,-0.0380528014990444,0.00700304936998988,1.23417099213013e-05,0.00701539107991118,0.998240766654244,0.00175923334575634,0.0836842241404548,0.00351307698767068,0.0837579314447962,"Industrial","ssp245_mid","SSP2-4.5, 2041-2060"
"IND","ssp245","end",5,-0.0393364421104255,0.00745010958630443,5.88917420143497e-06,0.00745599876050586,0.99921014281378,0.000789857186220268,0.0863140173222428,0.00242676208175317,0.0863481254023842,"Industrial","ssp245_end","SSP2-4.5, 2081-2100"
"IND","ssp585","mid",6,-0.0389456781005782,0.00728184823844171,8.82179840751388e-06,0.00729067003684922,0.998789987976012,0.00121001202398763,0.0853337461877873,0.00297015124320528,0.085385420516908,"Industrial","ssp585_mid","SSP5-8.5, 2041-2060"
"IND","ssp585","end",6,-0.0393588987352213,0.0070391337117958,3.01325009890331e-06,0.0070421469618947,0.999572112011407,0.000427887988593267,0.0838995453610793,0.00173587156751394,0.0839175009273673,"Industrial","ssp585_end","SSP5-8.5, 2081-2100"
