domain,max_rhat,min_ess,n_rho_bad
centro_sur_eez,1.001171710563337,8854.60281035713,0
main_envcoast,1.0014083903837323,8311.768790771603,0
offshore_ext,1.0008591051821365,8897.20251122514,0
se_pacific,1.0007899684604304,8835.988934547207,0
