anio,nui,nm_unidad,rg,trim,mes,cd_recurso,nm_recurso,nm_grupo,cd_linea,nm_linea,tipo_mp,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion,clase_industria
2018,15219,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5811.463999999999,0,5811.463999999999,5809.879999999999,HUMANO
2016,15219,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5806.0,0,5806.0,5806.0,HUMANO
2021,90071,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,6098.831,0,6098.831,5791.544000000001,HUMANO
2013,15219,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5791.406282000001,0,5791.406282000001,5782.759999999999,HUMANO
2022,90071,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5969.9,0,5969.9,5769.42,HUMANO
2013,90204,PLANTA,15,3,7,205,ANCHOVETA,PECES,L9,HARINA,1,25666.125,0,25666.125,5769.17751,ANIMAL
2021,90071,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,6015.024000000003,0,6015.024000000003,5768.074999999999,HUMANO
2021,90071,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5968.844999999999,0,5968.844999999999,5765.120000000001,HUMANO
2018,90157,PLANTA,1,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,27216.99100000001,0,27216.99100000001,5764.471000000001,ANIMAL
2024,4154,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5890.95,0,5890.95,5759.34,HUMANO
2023,4154,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,6407.64,0,6407.64,5757.92,HUMANO
2020,10951,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5739.65,0,5739.65,5738.917,HUMANO
2013,15232,PLANTA,2,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,19310.5,0,19310.5,5724.219999999999,ANIMAL
2024,4154,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5777.3,0,5777.3,5701.78,HUMANO
2018,15219,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5698.893000000002,0,5698.893000000002,5688.1,HUMANO
2012,4366,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5743.0,0,5743.0,5674.0,HUMANO
2015,90157,PLANTA,1,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,26461.238000000005,0,26461.238000000005,5662.924999999999,ANIMAL
2019,15219,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5735.23,0,5735.23,5661.619999999998,HUMANO
2024,13476,PLANTA,8,1,1,234,JUREL,PECES,L9,HARINA,1,20710.696,0,20710.696,5613.802,ANIMAL
2018,15219,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5617.720999999999,0,5617.720999999999,5608.359999999999,HUMANO
2023,90073,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,27898.616,0,27898.616,5603.495,ANIMAL
2018,15219,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5603.088000000001,0,5603.088000000001,5599.14,HUMANO
2021,10973,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,27832.397,0,27832.397,5593.744000000001,ANIMAL
2012,90204,PLANTA,15,3,8,205,ANCHOVETA,PECES,L9,HARINA,1,22812.0,0,22812.0,5592.0,ANIMAL
2014,4366,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5669.0289999999995,0,5669.0289999999995,5591.724,HUMANO
2018,90071,PLANTA,8,2,6,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,5848.6867,0,5848.6867,5581.226999999999,HUMANO
2019,90158,PLANTA,1,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,27286.26,0,27286.26,5574.38,ANIMAL
2024,10951,PLANTA,8,3,8,234,JUREL,PECES,L3,CONGELADO,1,5538.556,0,5538.556,5532.65,HUMANO
2012,90204,PLANTA,15,2,6,205,ANCHOVETA,PECES,L9,HARINA,1,23846.0,0,23846.0,5502.0,ANIMAL
2015,4366,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5598.901,0,5598.901,5473.34,HUMANO
2013,4366,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5472.516999999999,0,5472.516999999999,5472.516999999999,HUMANO
2014,18478,PLANTA,1,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,21143.109,0,21143.109,5464.438899999999,ANIMAL
2020,10951,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5463.189999999999,0,5463.189999999999,5463.19,HUMANO
2021,90073,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,26329.19699999999,0,26329.19699999999,5445.959999999998,ANIMAL
2019,90157,PLANTA,1,3,7,205,ANCHOVETA,PECES,L9,HARINA,1,25899.399999999994,0,25899.399999999994,5443.25,ANIMAL
