anio,nui,rg,sem,trim,mes,cd_recurso,nm_recurso,tipo_mp,precio,clase_industria_ii
2015,28064,3,1,1,3,205,ANCHOVETA,1,131507.0,ANIMAL
2021,15232,2,1,1,3,205,ANCHOVETA,1,131326.0,ANIMAL
2021,15232,2,1,1,3,234,JUREL,1,131326.0,ANIMAL
2021,28064,3,1,1,3,205,ANCHOVETA,1,131235.0,ANIMAL
2021,28064,3,1,1,3,278,SARDINA ESPAÑOLA,1,131235.0,ANIMAL
2021,28064,3,1,1,2,205,ANCHOVETA,1,131098.0,ANIMAL
2021,28064,3,1,1,2,278,SARDINA ESPAÑOLA,1,131098.0,ANIMAL
2018,17003,8,1,1,3,205,ANCHOVETA,1,131071.0,ANIMAL
2018,17003,8,1,1,3,276,SARDINA COMUN,1,131071.0,ANIMAL
2018,90099,8,1,1,3,205,ANCHOVETA,1,131071.0,ANIMAL
2018,90099,8,1,1,3,276,SARDINA COMUN,1,131071.0,ANIMAL
2014,90035,4,2,4,11,234,JUREL,1,130920.0,MIXTA_AH
2019,28064,3,1,1,2,234,JUREL,1,130885.0,ANIMAL
2020,90035,4,1,2,5,205,ANCHOVETA,1,130870.0,ANIMAL
2020,15232,2,2,4,11,234,JUREL,1,130718.0,ANIMAL
2021,28064,3,1,2,4,205,ANCHOVETA,1,130623.0,ANIMAL
2021,15232,2,1,2,4,205,ANCHOVETA,1,130361.0,ANIMAL
2021,15232,2,1,2,4,234,JUREL,1,130361.0,ANIMAL
2017,17003,8,1,2,4,205,ANCHOVETA,1,130349.0,ANIMAL
2017,17003,8,1,2,4,276,SARDINA COMUN,1,130349.0,ANIMAL
2017,90099,8,1,2,4,205,ANCHOVETA,1,130349.0,ANIMAL
2017,90099,8,1,2,4,276,SARDINA COMUN,1,130349.0,ANIMAL
2014,1688,10,2,4,12,276,SARDINA COMUN,1,130250.0,ANIMAL
2017,28064,3,1,1,2,234,JUREL,1,130220.0,ANIMAL
2021,15232,2,1,1,2,205,ANCHOVETA,1,130131.0,ANIMAL
2021,15232,2,1,1,2,234,JUREL,1,130131.0,ANIMAL
2017,90099,8,1,2,6,205,ANCHOVETA,1,130108.0,ANIMAL
2017,90099,8,1,2,6,276,SARDINA COMUN,1,130108.0,ANIMAL
2012,15300,2,1,1,2,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,1,1,3,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,1,2,4,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,1,2,5,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,1,2,6,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,3,7,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,3,8,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,3,9,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,4,10,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,4,11,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2012,15300,2,2,4,12,278,SARDINA ESPAÑOLA,,130000.0,HUMANO
2013,15300,2,1,1,1,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2013,15300,2,1,1,3,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2013,15300,2,1,2,4,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2013,15300,2,1,2,5,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2013,15300,2,2,3,8,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2013,15300,2,2,3,9,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2014,15300,2,1,2,4,234,JUREL,1,130000.0,HUMANO
2014,15300,2,1,2,4,276,SARDINA COMUN,1,130000.0,HUMANO
2014,15300,2,2,3,9,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2014,15300,2,2,4,10,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2014,15300,2,2,4,11,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2014,15300,2,2,4,12,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2015,15300,2,1,1,2,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2015,15300,2,2,3,8,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2015,15300,2,2,3,9,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2015,15300,2,2,4,10,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2016,15219,8,1,1,1,205,ANCHOVETA,1,130000.0,MIXTA_AH
2016,15219,8,1,1,3,205,ANCHOVETA,1,130000.0,MIXTA_AH
2016,15219,8,1,2,4,205,ANCHOVETA,1,130000.0,MIXTA_AH
2016,15219,8,1,2,5,205,ANCHOVETA,1,130000.0,MIXTA_AH
2016,15300,2,1,1,1,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2016,15300,2,1,2,4,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2016,15300,2,1,2,5,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2016,15300,2,1,2,6,278,SARDINA ESPAÑOLA,1,130000.0,HUMANO
2020,10951,8,1,1,3,276,SARDINA COMUN,1,130000.0,MIXTA_AH
2020,10951,8,1,2,4,276,SARDINA COMUN,1,130000.0,MIXTA_AH
2020,10951,8,1,2,5,276,SARDINA COMUN,1,130000.0,MIXTA_AH
2020,13476,8,1,1,3,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,1,2,4,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,1,2,5,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,1,2,6,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,2,3,7,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,2,4,11,276,SARDINA COMUN,1,130000.0,ANIMAL
2020,13476,8,2,4,12,276,SARDINA COMUN,1,130000.0,ANIMAL
2021,13476,8,1,1,3,276,SARDINA COMUN,1,130000.0,ANIMAL
2021,13476,8,1,2,4,276,SARDINA COMUN,1,130000.0,ANIMAL
2021,13476,8,1,2,5,276,SARDINA COMUN,1,130000.0,ANIMAL
2021,13476,8,1,2,6,276,SARDINA COMUN,1,130000.0,ANIMAL
2021,13476,8,2,4,11,276,SARDINA COMUN,1,130000.0,ANIMAL
2018,28064,3,1,1,3,205,ANCHOVETA,1,129829.0,ANIMAL
2015,90099,8,2,4,10,276,SARDINA COMUN,1,129712.0,ANIMAL
2015,90099,8,2,4,11,276,SARDINA COMUN,1,129712.0,ANIMAL
2015,1688,10,2,4,11,276,SARDINA COMUN,1,129699.0,ANIMAL
2020,90035,4,1,2,4,205,ANCHOVETA,1,129670.0,ANIMAL
2015,14837,14,2,4,11,205,ANCHOVETA,1,129496.0,ANIMAL
2015,14837,14,2,4,11,276,SARDINA COMUN,1,129496.0,ANIMAL
2018,14815,8,1,2,4,276,SARDINA COMUN,1,129477.0,MIXTA_AH
2018,28064,3,1,2,5,234,JUREL,1,128848.0,ANIMAL
2017,28064,3,1,2,4,234,JUREL,1,128788.0,ANIMAL
2015,2421,8,1,1,3,276,SARDINA COMUN,1,128758.0,ANIMAL
2015,14815,8,1,1,3,276,SARDINA COMUN,1,128758.0,MIXTA_AH
2015,18478,1,1,1,3,205,ANCHOVETA,1,128574.0,ANIMAL
2015,28064,3,2,4,10,205,ANCHOVETA,1,127899.0,ANIMAL
2021,15232,2,1,1,1,205,ANCHOVETA,1,127714.0,ANIMAL
2021,15232,2,1,1,1,234,JUREL,1,127714.0,ANIMAL
2016,28064,3,1,2,6,205,ANCHOVETA,1,127641.0,ANIMAL
2019,28064,3,1,1,3,234,JUREL,1,127579.0,ANIMAL
2020,28064,3,2,4,10,205,ANCHOVETA,1,127365.0,ANIMAL
2020,28064,3,2,4,10,278,SARDINA ESPAÑOLA,1,127365.0,ANIMAL
2014,14837,14,2,4,12,276,SARDINA COMUN,1,127349.0,ANIMAL
2014,90099,8,2,4,12,276,SARDINA COMUN,1,127349.0,ANIMAL
2015,2332,8,1,1,3,276,SARDINA COMUN,1,127316.0,ANIMAL
2016,14815,8,2,4,10,276,SARDINA COMUN,1,127136.0,MIXTA_AH
2016,14815,8,2,4,11,276,SARDINA COMUN,1,127136.0,MIXTA_AH
2020,15232,2,2,4,10,205,ANCHOVETA,1,127062.0,ANIMAL
2020,15232,2,2,4,10,234,JUREL,1,127062.0,ANIMAL
2020,15232,2,2,4,10,278,SARDINA ESPAÑOLA,1,127062.0,ANIMAL
2016,28064,3,1,2,4,205,ANCHOVETA,1,126986.0,ANIMAL
2016,28064,3,1,2,5,205,ANCHOVETA,1,126986.0,ANIMAL
2017,90099,8,2,3,7,276,SARDINA COMUN,1,126944.0,ANIMAL
2019,28064,3,1,2,6,205,ANCHOVETA,1,126919.0,ANIMAL
2019,28064,3,1,2,6,278,SARDINA ESPAÑOLA,1,126919.0,ANIMAL
2015,14837,14,2,4,10,205,ANCHOVETA,1,126881.0,ANIMAL
2015,14837,14,2,4,10,276,SARDINA COMUN,1,126881.0,ANIMAL
2018,28064,3,1,2,6,234,JUREL,1,126772.0,ANIMAL
2015,28064,3,2,4,12,205,ANCHOVETA,1,126597.0,ANIMAL
2019,15232,2,1,2,5,205,ANCHOVETA,1,126487.0,ANIMAL
2019,15232,2,1,2,5,234,JUREL,1,126487.0,ANIMAL
2022,90035,4,1,1,3,205,ANCHOVETA,1,126460.0,ANIMAL
2018,14837,14,2,4,10,205,ANCHOVETA,1,126346.0,ANIMAL
2018,14837,14,2,4,10,276,SARDINA COMUN,1,126346.0,ANIMAL
2019,15232,2,2,3,8,205,ANCHOVETA,1,126333.0,ANIMAL
2016,28064,3,1,1,3,205,ANCHOVETA,1,126223.0,ANIMAL
2020,15232,2,2,3,8,205,ANCHOVETA,1,126044.0,ANIMAL
2020,15232,2,2,3,8,278,SARDINA ESPAÑOLA,1,126044.0,ANIMAL
2015,90035,4,1,2,5,205,ANCHOVETA,1,125900.0,MIXTA_AH
2020,90035,4,1,2,6,205,ANCHOVETA,1,125630.0,ANIMAL
2017,28064,3,1,1,3,234,JUREL,1,125602.0,ANIMAL
2021,28064,3,1,2,5,205,ANCHOVETA,1,125453.0,ANIMAL
2021,28064,3,1,2,5,278,SARDINA ESPAÑOLA,1,125453.0,ANIMAL
2015,28064,3,2,4,11,205,ANCHOVETA,1,125297.0,ANIMAL
2015,28064,3,2,3,9,205,ANCHOVETA,1,125257.0,ANIMAL
2022,90035,4,1,2,4,205,ANCHOVETA,1,124870.0,ANIMAL
2018,14815,8,1,1,3,276,SARDINA COMUN,1,124603.0,MIXTA_AH
2015,28064,3,1,2,4,205,ANCHOVETA,1,124479.0,ANIMAL
2020,14837,14,1,1,2,205,ANCHOVETA,1,124176.0,ANIMAL
2020,14837,14,1,1,2,276,SARDINA COMUN,1,124176.0,ANIMAL
2015,14837,14,2,3,8,276,SARDINA COMUN,1,124018.0,ANIMAL
2020,90035,4,2,3,7,205,ANCHOVETA,1,124011.0,ANIMAL
2020,15232,2,2,3,7,205,ANCHOVETA,1,122984.0,ANIMAL
2020,15232,2,2,3,7,278,SARDINA ESPAÑOLA,1,122894.0,ANIMAL
2015,2421,8,1,2,4,276,SARDINA COMUN,1,122265.0,ANIMAL
2015,14815,8,1,2,4,276,SARDINA COMUN,1,122265.0,MIXTA_AH
2015,28064,3,1,2,6,205,ANCHOVETA,1,122255.0,ANIMAL
2015,90035,4,1,2,6,205,ANCHOVETA,1,122190.0,MIXTA_AH
2017,28064,3,1,2,6,234,JUREL,1,122029.0,ANIMAL
2015,28064,3,2,3,8,205,ANCHOVETA,1,122002.0,ANIMAL
2019,15232,2,2,3,7,205,ANCHOVETA,1,121937.0,ANIMAL
2015,14815,8,1,2,6,276,SARDINA COMUN,1,121867.0,MIXTA_AH
2018,90035,4,1,2,5,234,JUREL,1,121530.0,MIXTA_AH
2016,1688,10,1,1,3,205,ANCHOVETA,1,121408.0,ANIMAL
2016,1688,10,1,1,3,276,SARDINA COMUN,1,121408.0,ANIMAL
2016,2332,8,1,1,3,205,ANCHOVETA,1,121408.0,ANIMAL
2016,2332,8,1,1,3,276,SARDINA COMUN,1,121408.0,ANIMAL
2013,14837,14,1,2,6,205,ANCHOVETA,1,121400.0,HUMANO
2013,14837,14,1,2,6,276,SARDINA COMUN,1,121400.0,HUMANO
2018,90158,1,2,4,10,205,ANCHOVETA,1,121251.0,MIXTA_AH
2020,15232,2,2,4,12,205,ANCHOVETA,1,121119.0,ANIMAL
2019,15232,2,1,2,6,205,ANCHOVETA,1,121025.0,ANIMAL
2015,2421,8,1,2,5,276,SARDINA COMUN,1,121011.0,ANIMAL
2015,14815,8,1,2,5,276,SARDINA COMUN,1,121011.0,MIXTA_AH
2014,1688,10,2,4,11,276,SARDINA COMUN,1,120656.0,ANIMAL
2019,15232,2,1,2,4,205,ANCHOVETA,1,120600.0,ANIMAL
2019,15232,2,1,2,4,234,JUREL,1,120600.0,ANIMAL
2019,28064,3,2,3,8,205,ANCHOVETA,1,120425.0,ANIMAL
2019,28064,3,2,3,8,278,SARDINA ESPAÑOLA,1,120425.0,ANIMAL
2016,14815,8,2,4,12,276,SARDINA COMUN,1,120423.0,MIXTA_AH
2020,28064,3,1,1,1,205,ANCHOVETA,1,120405.0,ANIMAL
2020,28064,3,1,1,1,278,SARDINA ESPAÑOLA,1,120405.0,ANIMAL
2019,15232,2,2,4,11,205,ANCHOVETA,1,120397.0,ANIMAL
2019,15232,2,2,4,11,234,JUREL,1,120397.0,ANIMAL
2015,90099,8,2,3,7,276,SARDINA COMUN,1,120360.0,ANIMAL
2021,28064,3,1,1,1,205,ANCHOVETA,1,120171.0,ANIMAL
2019,28064,3,1,2,5,205,ANCHOVETA,1,120164.0,ANIMAL
2019,28064,3,1,2,5,278,SARDINA ESPAÑOLA,1,120164.0,ANIMAL
2015,28064,3,1,2,5,205,ANCHOVETA,1,120150.0,ANIMAL
2015,2332,8,2,4,11,276,SARDINA COMUN,1,120014.0,ANIMAL
2016,10951,8,1,1,2,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,1,1,3,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,1,2,4,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,1,2,5,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,1,2,6,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,2,3,7,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,2,4,10,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,2,4,11,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,10951,8,2,4,12,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,15219,8,2,3,7,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,15219,8,2,4,11,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2016,15219,8,2,4,12,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2017,10452,5,1,2,5,234,JUREL,1,120000.0,ANIMAL
2018,10951,8,1,1,2,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,1,1,3,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,1,2,4,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,1,2,5,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,1,2,6,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,2,4,10,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,2,4,11,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,10951,8,2,4,12,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2018,15219,8,1,2,4,276,SARDINA COMUN,1,120000.0,MIXTA_AH
2019,13476,8,1,1,3,276,SARDINA COMUN,1,120000.0,ANIMAL
2019,13476,8,1,2,4,276,SARDINA COMUN,1,120000.0,ANIMAL
2019,13476,8,1,2,5,276,SARDINA COMUN,1,120000.0,ANIMAL
2019,13476,8,1,2,6,276,SARDINA COMUN,1,120000.0,ANIMAL
2019,13476,8,2,3,7,276,SARDINA COMUN,1,120000.0,ANIMAL
2020,10452,5,1,1,2,234,JUREL,1,120000.0,ANIMAL
2020,10452,5,1,1,3,234,JUREL,1,120000.0,ANIMAL
2020,10452,5,1,2,4,234,JUREL,1,120000.0,ANIMAL
2014,14815,8,2,4,11,205,ANCHOVETA,1,119994.0,MIXTA_AH
2014,14815,8,2,4,11,276,SARDINA COMUN,1,119994.0,MIXTA_AH
2014,14837,14,2,4,11,205,ANCHOVETA,1,119784.0,ANIMAL
2014,14837,14,2,4,11,276,SARDINA COMUN,1,119784.0,ANIMAL
2014,90099,8,2,4,11,276,SARDINA COMUN,1,119784.0,ANIMAL
2013,28064,3,1,2,6,234,JUREL,1,119748.0,ANIMAL
2019,28064,3,2,3,7,205,ANCHOVETA,1,119655.0,ANIMAL
2019,28064,3,2,3,7,278,SARDINA ESPAÑOLA,1,119655.0,ANIMAL
2020,28064,3,2,3,8,205,ANCHOVETA,1,119505.0,ANIMAL
2020,28064,3,2,3,8,278,SARDINA ESPAÑOLA,1,119505.0,ANIMAL
2015,14837,14,2,3,7,205,ANCHOVETA,1,119323.0,ANIMAL
2015,14837,14,2,3,7,276,SARDINA COMUN,1,119323.0,ANIMAL
2013,90099,8,1,2,5,276,SARDINA COMUN,1,119156.0,ANIMAL
2014,1688,10,2,3,8,276,SARDINA COMUN,1,119060.0,ANIMAL
2019,28064,3,2,4,12,205,ANCHOVETA,1,119050.0,ANIMAL
2018,28064,3,2,3,9,205,ANCHOVETA,1,118867.0,ANIMAL
2018,28064,3,2,3,9,278,SARDINA ESPAÑOLA,1,118867.0,ANIMAL
2014,14837,14,2,4,10,276,SARDINA COMUN,1,118828.0,ANIMAL
2014,90099,8,2,4,10,276,SARDINA COMUN,1,118828.0,ANIMAL
2016,2332,8,2,4,12,276,SARDINA COMUN,1,118756.0,ANIMAL
2016,90035,4,2,3,9,205,ANCHOVETA,1,117950.0,MIXTA_AH
2016,1688,10,1,1,1,205,ANCHOVETA,1,117678.0,ANIMAL
2016,1688,10,1,1,1,276,SARDINA COMUN,1,117678.0,ANIMAL
2013,28064,3,1,1,1,234,JUREL,1,117438.0,ANIMAL
2015,18478,1,1,2,4,205,ANCHOVETA,1,117366.0,ANIMAL
2013,28064,3,1,1,2,234,JUREL,1,117180.0,ANIMAL
2013,28064,3,1,2,4,234,JUREL,1,117180.0,ANIMAL
2013,28064,3,1,2,5,234,JUREL,1,117180.0,ANIMAL
2014,90035,4,2,4,12,205,ANCHOVETA,1,117000.0,MIXTA_AH
2015,28064,3,2,3,7,205,ANCHOVETA,1,116921.0,ANIMAL
2015,28064,3,1,1,1,205,ANCHOVETA,1,116825.0,ANIMAL
2019,15232,2,2,4,12,205,ANCHOVETA,1,116812.0,ANIMAL
2019,15232,2,2,4,12,234,JUREL,1,116812.0,ANIMAL
2018,90158,1,2,3,9,205,ANCHOVETA,1,116741.0,MIXTA_AH
2019,28064,3,1,1,1,205,ANCHOVETA,1,116702.0,ANIMAL
2018,28064,3,2,4,12,205,ANCHOVETA,1,116347.0,ANIMAL
2016,2332,8,2,4,10,276,SARDINA COMUN,1,116186.0,ANIMAL
2019,14837,14,1,1,2,276,SARDINA COMUN,1,116079.0,ANIMAL
2015,18478,1,2,3,8,205,ANCHOVETA,1,116036.0,ANIMAL
2019,14837,14,1,1,2,205,ANCHOVETA,1,116019.0,ANIMAL
2014,28064,3,2,4,11,205,ANCHOVETA,1,115761.0,ANIMAL
2018,28064,3,1,2,4,205,ANCHOVETA,1,115514.0,ANIMAL
2018,28064,3,1,2,4,278,SARDINA ESPAÑOLA,1,115514.0,ANIMAL
2014,1688,10,2,3,7,276,SARDINA COMUN,1,115460.0,ANIMAL
2017,10951,8,1,1,3,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,1,2,4,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,1,2,5,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,1,2,6,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,2,3,7,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,2,4,10,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,2,4,11,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2017,10951,8,2,4,12,276,SARDINA COMUN,1,115000.0,MIXTA_AH
2014,14815,8,2,4,12,205,ANCHOVETA,1,114530.0,MIXTA_AH
2014,14815,8,2,4,12,234,JUREL,1,114530.0,MIXTA_AH
2014,14815,8,2,4,12,276,SARDINA COMUN,1,114530.0,MIXTA_AH
2014,90035,4,1,2,6,234,JUREL,1,114520.0,MIXTA_AH
2015,18478,1,2,3,7,205,ANCHOVETA,1,114415.0,ANIMAL
2016,90035,4,2,4,10,205,ANCHOVETA,1,114380.0,MIXTA_AH
2018,28064,3,2,3,7,278,SARDINA ESPAÑOLA,1,114039.0,ANIMAL
2018,28064,3,2,3,7,205,ANCHOVETA,1,114030.0,ANIMAL
2016,10452,5,1,1,3,234,JUREL,1,114000.0,ANIMAL
2019,15232,2,1,1,3,205,ANCHOVETA,1,113974.0,ANIMAL
2019,15232,2,1,1,3,234,JUREL,1,113974.0,ANIMAL
2016,1688,10,1,2,4,205,ANCHOVETA,1,113888.0,ANIMAL
2016,1688,10,1,2,4,276,SARDINA COMUN,1,113888.0,ANIMAL
2016,2332,8,1,2,4,205,ANCHOVETA,1,113888.0,ANIMAL
2016,2332,8,1,2,4,276,SARDINA COMUN,1,113888.0,ANIMAL
2019,28064,3,1,2,4,278,SARDINA ESPAÑOLA,1,113878.0,ANIMAL
2020,90035,4,2,3,8,205,ANCHOVETA,1,113739.0,ANIMAL
2016,28064,3,2,4,11,205,ANCHOVETA,1,113257.0,ANIMAL
2018,90158,1,2,4,11,205,ANCHOVETA,1,113139.0,MIXTA_AH
2018,14815,8,2,4,11,276,SARDINA COMUN,1,113122.0,MIXTA_AH
2014,28064,3,2,4,10,205,ANCHOVETA,1,113060.0,ANIMAL
2016,90035,4,2,3,7,205,ANCHOVETA,1,112870.0,MIXTA_AH
2018,28064,3,2,3,8,205,ANCHOVETA,1,112427.0,ANIMAL
2018,28064,3,2,3,8,278,SARDINA ESPAÑOLA,1,112427.0,ANIMAL
2015,18478,1,1,2,5,205,ANCHOVETA,1,112405.0,ANIMAL
2014,90035,4,1,2,5,234,JUREL,1,112350.0,MIXTA_AH
2015,18478,1,1,2,6,205,ANCHOVETA,1,112249.0,ANIMAL
2016,90035,4,2,3,8,205,ANCHOVETA,1,112120.0,MIXTA_AH
2013,90099,8,1,2,4,276,SARDINA COMUN,1,112082.0,ANIMAL
2019,15232,2,2,4,10,234,JUREL,1,112042.0,ANIMAL
2015,90035,4,2,3,8,205,ANCHOVETA,1,111940.0,MIXTA_AH
2017,17003,8,1,2,5,276,SARDINA COMUN,1,111845.0,ANIMAL
2017,90099,8,1,2,5,205,ANCHOVETA,1,111845.0,ANIMAL
2017,90099,8,1,2,5,276,SARDINA COMUN,1,111845.0,ANIMAL
2013,14837,14,2,3,7,205,ANCHOVETA,1,111689.0,HUMANO
2013,14837,14,2,3,7,276,SARDINA COMUN,1,111689.0,HUMANO
2018,90035,4,1,2,4,234,JUREL,1,111190.0,MIXTA_AH
2017,17003,8,1,2,5,205,ANCHOVETA,1,110845.0,ANIMAL
2019,28064,3,1,1,2,205,ANCHOVETA,1,110749.0,ANIMAL
2014,90035,4,1,1,2,234,JUREL,1,110720.0,MIXTA_AH
2015,90035,4,2,3,7,205,ANCHOVETA,1,110532.0,MIXTA_AH
2021,90035,4,2,3,7,205,ANCHOVETA,1,110480.0,ANIMAL
2014,90035,4,1,2,4,234,JUREL,1,110200.0,MIXTA_AH
2017,28064,3,1,1,2,205,ANCHOVETA,1,110186.0,ANIMAL
2018,13476,8,1,1,3,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,13476,8,1,2,4,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,13476,8,1,2,5,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,13476,8,2,4,10,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,13476,8,2,4,11,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,13476,8,2,4,12,276,SARDINA COMUN,1,110000.0,ANIMAL
2018,15219,8,1,1,3,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2018,15219,8,1,2,5,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2018,15219,8,1,2,6,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2018,15219,8,2,4,11,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2018,15219,8,2,4,12,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,1,1,3,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,1,2,4,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,1,2,5,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,1,2,6,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,2,3,7,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,2,4,10,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,10951,8,2,4,12,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,13476,8,2,4,11,276,SARDINA COMUN,1,110000.0,ANIMAL
2019,13476,8,2,4,12,276,SARDINA COMUN,1,110000.0,ANIMAL
2019,15219,8,1,1,3,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,15219,8,1,2,4,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,15219,8,1,2,5,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,15219,8,1,2,6,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,15219,8,2,4,11,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2019,15219,8,2,4,12,276,SARDINA COMUN,1,110000.0,MIXTA_AH
2015,2332,8,1,2,5,276,SARDINA COMUN,1,109668.0,ANIMAL
2014,90035,4,2,3,9,205,ANCHOVETA,1,109590.0,MIXTA_AH
2014,90035,4,1,1,1,234,JUREL,1,109201.0,MIXTA_AH
2017,28064,3,1,2,5,205,ANCHOVETA,1,109071.0,ANIMAL
2018,28064,3,1,2,5,205,ANCHOVETA,1,109026.0,ANIMAL
2018,28064,3,1,2,5,278,SARDINA ESPAÑOLA,1,109026.0,ANIMAL
2020,90035,4,1,1,3,205,ANCHOVETA,1,108990.0,ANIMAL
2017,28064,3,1,2,4,205,ANCHOVETA,1,108974.0,ANIMAL
2021,90035,4,1,1,2,205,ANCHOVETA,1,108680.0,ANIMAL
2015,90035,4,1,1,2,205,ANCHOVETA,1,108130.0,MIXTA_AH
2019,28064,3,1,1,3,278,SARDINA ESPAÑOLA,1,107952.0,ANIMAL
2013,90035,4,2,4,11,234,JUREL,1,107680.0,MIXTA_AH
2014,14815,8,2,4,10,205,ANCHOVETA,1,107642.0,MIXTA_AH
2014,14815,8,2,4,10,276,SARDINA COMUN,1,107642.0,MIXTA_AH
2018,28064,3,1,2,6,205,ANCHOVETA,1,107268.0,ANIMAL
2018,28064,3,1,2,6,278,SARDINA ESPAÑOLA,1,107268.0,ANIMAL
2021,90035,4,1,1,3,205,ANCHOVETA,1,106900.0,ANIMAL
2021,90035,4,1,2,4,205,ANCHOVETA,1,106790.0,ANIMAL
2013,14837,14,1,2,5,205,ANCHOVETA,1,106553.0,HUMANO
