anio,nm_recurso,clase_industria_ii,price_mean_clp_per_t,price_med_clp_per_t,price_sd_clp_per_t,n_plants_months
2020,SARDINA COMUN,ANIMAL,151705.625,140686.5,32843.89194330805,24
2020,SARDINA COMUN,MIXTA_AH,155727.27272727274,168000.0,17652.710324994907,11
2020,SARDINA ESPAÑOLA,ANIMAL,130426.5,126553.0,12542.493315582375,8
2021,ANCHOVETA,ANIMAL,142731.5,141685.0,22903.44726152678,40
2021,ANCHOVETA,MIXTA_AH,155808.66666666666,161025.0,10062.538066180583,3
2021,JUREL,ANIMAL,157891.6,156008.0,21956.786247473487,30
2021,JUREL,HUMANO,287000.0,240000.0,112945.41454466697,10
2021,JUREL,MIXTA_AH,240000.0,240000.0,0.0,6
2021,SARDINA COMUN,ANIMAL,153740.75,153574.5,24042.44886228221,12
2021,SARDINA COMUN,MIXTA_AH,152617.0,152617.0,11890.707632432983,2
2021,SARDINA ESPAÑOLA,ANIMAL,138477.875,135412.5,10451.445838973665,8
2022,ANCHOVETA,ANIMAL,167894.2105263158,172668.0,21889.0956712659,38
2022,ANCHOVETA,MIXTA_AH,200196.44444444444,202146.0,13577.2516559051,9
2022,JUREL,ANIMAL,202401.5,191302.0,26475.018426881274,28
2022,JUREL,HUMANO,285184.6666666667,320000.0,87576.83657984762,3
2022,SARDINA COMUN,ANIMAL,140000.0,140000.0,0.0,2
2022,SARDINA COMUN,MIXTA_AH,195344.66666666666,189811.0,17193.993435208704,9
2022,SARDINA ESPAÑOLA,ANIMAL,168157.0,171487.0,11222.962131273533,7
2023,ANCHOVETA,ANIMAL,162433.76470588235,160000.0,21609.448050937743,17
2023,ANCHOVETA,MIXTA_AH,221888.88888888888,221000.0,25413.79765228155,9
2023,JUREL,ANIMAL,246920.1052631579,249618.0,39739.26461168091,19
2023,JUREL,HUMANO,274238.8333333333,281270.0,47512.63177057934,6
2023,SARDINA COMUN,ANIMAL,160000.0,160000.0,0.0,4
2023,SARDINA COMUN,MIXTA_AH,221888.88888888888,221000.0,25413.79765228155,9
2023,SARDINA ESPAÑOLA,ANIMAL,207417.6,211215.0,21113.34167771649,5
2024,ANCHOVETA,ANIMAL,166480.22222222222,190000.0,67952.42280959852,9
2024,JUREL,ANIMAL,249784.7142857143,239309.0,39333.126573741036,14
2024,JUREL,HUMANO,302134.0,284382.0,61871.826516598005,5
2024,SARDINA COMUN,ANIMAL,190000.0,190000.0,0.0,4
2024,SARDINA ESPAÑOLA,ANIMAL,212844.5,217829.0,19950.504713749313,4
,,,196907.87310778484,196907.87310778484,16920.646872254427,2
